epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,790.104,1.04183,0.89668,1.07098,0.354,0.25484,0.25084,0.15289,1.86889,2.39542,1.66019,0.000148524,0.000148524,0.000148524
85,799.191,1.06283,0.90956,1.07587,0.67692,0.2243,0.24943,0.15109,1.87783,2.45282,1.6659,0.000140277,0.000140277,0.000140277
86,810.359,1.02815,0.87492,1.05044,0.55212,0.21743,0.24696,0.14877,1.86795,2.39427,1.65293,0.000132031,0.000132031,0.000132031
87,819.51,1.01389,0.85893,1.04518,0.498,0.24889,0.25416,0.15155,1.86224,2.46136,1.63899,0.000123784,0.000123784,0.000123784
88,828.562,1.03758,0.8705,1.07351,0.34025,0.28349,0.25244,0.1511,1.88988,2.41218,1.66324,0.000115537,0.000115537,0.000115537
89,837.712,1.03055,0.87779,1.05886,0.33753,0.28365,0.26469,0.15274,1.8682,2.44832,1.63933,0.00010729,0.00010729,0.00010729
90,848.814,1.03458,0.87632,1.0647,0.39847,0.25707,0.27432,0.1585,1.8657,2.3762,1.61803,9.90437e-05,9.90437e-05,9.90437e-05
91,873.379,0.97786,0.77407,1.05965,0.40894,0.23995,0.25461,0.14866,1.90403,2.41257,1.67553,9.0797e-05,9.0797e-05,9.0797e-05
92,882.567,0.96941,0.77547,1.06741,0.52768,0.24876,0.25923,0.15065,1.89807,2.32599,1.67553,8.25503e-05,8.25503e-05,8.25503e-05
93,891.784,0.94003,0.74148,1.0513,0.43914,0.24206,0.25121,0.14673,1.86278,2.40671,1.64442,7.43036e-05,7.43036e-05,7.43036e-05
94,900.798,0.92009,0.72335,1.0434,0.37014,0.24406,0.24425,0.14352,1.88934,2.37999,1.67649,6.60569e-05,6.60569e-05,6.60569e-05
95,909.933,0.92342,0.7162,1.04534,0.39791,0.23286,0.25356,0.14863,1.87415,2.42497,1.68344,5.78102e-05,5.78102e-05,5.78102e-05
96,918.911,0.91248,0.70367,1.0377,0.35344,0.2701,0.26122,0.1541,1.87177,2.43792,1.68574,4.95635e-05,4.95635e-05,4.95635e-05
97,927.969,0.90588,0.70788,1.03188,0.42327,0.23351,0.25055,0.14727,1.87878,2.41629,1.67511,4.13168e-05,4.13168e-05,4.13168e-05
98,936.961,0.89379,0.69378,1.01734,0.41118,0.23567,0.2485,0.14284,1.90702,2.43846,1.69984,3.30701e-05,3.30701e-05,3.30701e-05
99,945.833,0.90638,0.68569,1.02497,0.46865,0.23522,0.26163,0.14832,1.86899,2.39628,1.67165,2.48234e-05,2.48234e-05,2.48234e-05
100,954.944,0.9152,0.69794,1.03249,0.4518,0.23353,0.25513,0.14609,1.88529,2.39309,1.68023,1.65767e-05,1.65767e-05,1.65767e-05
